scen. (nsig,    nbg)        BDT_cut signif. sig_eff bg_eff
(noSmear)
BP18 (9514.59, 743707) 0.0931 32.3841 0.397552 0.0132583
HP2 (1125.68, 743707) 0.1118 7.48895 0.531744 0.00778513
HP3 (3462.99, 743707) 0.1118 13.9485 0.335863 0.00778513
HP5 (2707.95, 743707) 0.1211 19.1525 0.54244 0.00593404
HP6 (1506.91, 743707) 0.1118 9.91863 0.534546 0.00778513
HP7 (1440.53, 743707) 0.1118 9.23224 0.518143 0.00778513
HP8 (918.942, 743707) 0.1118 5.68827 0.48894 0.00778513
HP9 (1226.12, 743707) 0.1488 8.50978 0.325738 0.00242481
HP10 (367.682, 743707) 0.0937 2.054 0.556083 0.0130487
HP11 (6974.45, 743707) 0.1211 37.9965 0.479928 0.00593404
HP12 (4074.24, 743707) 0.1487 23.1415 0.316149 0.0024338
HP13 (6418.01, 743707) 0.1211 39.9761 0.556612 0.00593404
HP14 (2737.25, 743707) 0.1488 14.9019 0.275284 0.00242481
HP15 (6181.97, 743707) 0.1211 35.5884 0.498355 0.00593404
HP16 (5699.98, 743707) 0.1225 37.1669 0.564361 0.0057473
HP17 (2201.31, 743707) 0.1151 14.1852 0.515756 0.00708695
HP18 (5273.19, 743707) 0.1487 35.7624 0.43425 0.0024338
HP19 (4693.19, 743707) 0.1437 32.5688 0.457911 0.00296488
HP20 (3235.51, 743707) 0.1487 24.4174 0.426164 0.0024338
BP21 (8036.69, 743707) 0.052 16.7319 0.589953 0.101593
BP23 (10285.6, 743707) 0.0715 22.3085 0.493375 0.0627548
HP1 (8019.89, 743707) 0.0568 17.3585 0.584766 0.0918404
HP4 (3373.62, 743707) -0.0093 5.4043 0.764662 0.302904
 
scen. (nsig,    nbg)        BDT_cut signif. sig_eff bg_eff
(withSmear1_smearedEFlow)
BP18 (9500.87, 747380) 0.0474 31.722 0.422229 0.0160299
HP2 (1125.11, 747380) 0.0848 9.22666 0.547196 0.00513351
HP3 (3449.85, 747380) 0.0715 13.6351 0.329926 0.00780046
HP5 (2707.32, 747380) 0.0852 20.9988 0.566091 0.00507666
HP6 (1505.58, 747380) 0.0848 12.2524 0.556388 0.00513351
HP7 (1439.64, 747380) 0.0848 11.4155 0.538496 0.00513351
HP8 (918.609, 747380) 0.0848 7.03343 0.501947 0.00513351
HP9 (1226.85, 747380) 0.0852 7.82487 0.418614 0.00507666
HP10 (367.25, 747380) 0.0714 2.5973 0.549725 0.0078139
HP11 (6963.91, 747380) 0.0848 38.5562 0.465901 0.00513351
HP12 (4073.24, 747380) 0.0852 23.3431 0.426173 0.00507666
HP13 (6416.12, 747380) 0.0848 41.4756 0.556304 0.00513351
HP14 (2733.44, 747380) 0.0852 15.0591 0.38336 0.00507666
HP15 (6182.33, 747380) 0.0848 36.1194 0.48246 0.00513351
HP16 (5696.48, 747380) 0.0848 38.7326 0.572946 0.00513351
HP17 (2198.41, 747380) 0.0848 16.9134 0.546024 0.00513351
HP18 (5271.21, 747380) 0.0852 36.0797 0.562798 0.00507666
HP19 (4690.64, 747380) 0.0852 34.2427 0.59171 0.00507666
HP20 (3235.2, 747380) 0.1134 23.9799 0.388231 0.00199014
BP21 (8025.6, 747380) 0.0635 18.2476 0.426454 0.0424907
BP23 (10265.2, 747380) 0.063 23.7605 0.444125 0.0431597
HP1 (8008.66, 747380) 0.0752 19.7081 0.388589 0.0291995
HP4 (3371.08, 747380) -0.0105 5.63391 0.694093 0.227656
 
scen. (nsig,    nbg)        BDT_cut signif. sig_eff bg_eff
(noSmear)
BP18 (9514.59, 743707) 0.0931 32.3841 0.397552 0.0132583
HP2 (1125.68, 743707) 0.1118 7.48895 0.531744 0.00778513
HP3 (3462.99, 743707) 0.1118 13.9485 0.335863 0.00778513
HP5 (2707.95, 743707) 0.1211 19.1525 0.54244 0.00593404
HP6 (1506.91, 743707) 0.1118 9.91863 0.534546 0.00778513
HP7 (1440.53, 743707) 0.1118 9.23224 0.518143 0.00778513
HP8 (918.942, 743707) 0.1118 5.68827 0.48894 0.00778513
HP9 (1226.12, 743707) 0.1488 8.50978 0.325738 0.00242481
HP10 (367.682, 743707) 0.0937 2.054 0.556083 0.0130487
HP11 (6974.45, 743707) 0.1211 37.9965 0.479928 0.00593404
HP12 (4074.24, 743707) 0.1487 23.1415 0.316149 0.0024338
HP13 (6418.01, 743707) 0.1211 39.9761 0.556612 0.00593404
HP14 (2737.25, 743707) 0.1488 14.9019 0.275284 0.00242481
HP15 (6181.97, 743707) 0.1211 35.5884 0.498355 0.00593404
HP16 (5699.98, 743707) 0.1225 37.1669 0.564361 0.0057473
HP17 (2201.31, 743707) 0.1151 14.1852 0.515756 0.00708695
HP18 (5273.19, 743707) 0.1487 35.7624 0.43425 0.0024338
HP19 (4693.19, 743707) 0.1437 32.5688 0.457911 0.00296488
HP20 (3235.51, 743707) 0.1487 24.4174 0.426164 0.0024338
BP21 (8036.69, 743707) 0.052 16.7319 0.589953 0.101593
BP23 (10285.6, 743707) 0.0715 22.3085 0.493375 0.0627548
HP1 (8019.89, 743707) 0.0568 17.3585 0.584766 0.0918404
